CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE,PHONE,CUISINE DESCRIPTION,INSPECTION DATE,ACTION,VIOLATION CODE,VIOLATION DESCRIPTION,CRITICAL FLAG,SCORE,GRADE,GRADE DATE,RECORD DATE,INSPECTION TYPE
40366711,LI GRECI'S STAATEN RESTAURANT,STATEN ISLAND,697,FOREST AVENUE                                     ,10310,7184486000,American ,2015-06-03,No violations were recorded at the time of this inspection.,,,Not Applicable,,,,2015-08-14,Administrative Miscellaneous / Initial Inspection
40366711,LI GRECI'S STAATEN RESTAURANT,STATEN ISLAND,697,FOREST AVENUE                                     ,10310,7184486000,American ,2015-02-05,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,14.0,B,2015-02-05,2015-08-14,Cycle Inspection / Re-inspection
40366711,LI GRECI'S STAATEN RESTAURANT,STATEN ISLAND,697,FOREST AVENUE                                     ,10310,7184486000,American ,2015-02-05,Violations were cited in the following area(s).,04M,Live roaches present in facility's food and/or non-food areas.,Critical,14.0,B,2015-02-05,2015-08-14,Cycle Inspection / Re-inspection
40366711,LI GRECI'S STAATEN RESTAURANT,STATEN ISLAND,697,FOREST AVENUE                                     ,10310,7184486000,American ,2015-02-05,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,14.0,B,2015-02-05,2015-08-14,Cycle Inspection / Re-inspection
40366711,LI GRECI'S STAATEN RESTAURANT,STATEN ISLAND,697,FOREST AVENUE                                     ,10310,7184486000,American ,2015-01-22,Violations were cited in the following area(s).,02H,"Food not cooled by an approved method whereby the internal product temperature is reduced from 140å¼ F to 70å¼ F or less within 2 hours, and from 70å¼ F to 41å¼ F or less within 4 additional hours.",Critical,26.0,,,2015-08-14,Cycle Inspection / Initial Inspection
40366711,LI GRECI'S STAATEN RESTAURANT,STATEN ISLAND,697,FOREST AVENUE                                     ,10310,7184486000,American ,2015-01-22,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,26.0,,,2015-08-14,Cycle Inspection / Initial Inspection
40366711,LI GRECI'S STAATEN RESTAURANT,STATEN ISLAND,697,FOREST AVENUE                                     ,10310,7184486000,American ,2015-01-22,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,26.0,,,2015-08-14,Cycle Inspection / Initial Inspection
40366711,LI GRECI'S STAATEN RESTAURANT,STATEN ISLAND,697,FOREST AVENUE                                     ,10310,7184486000,American ,2015-01-22,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,26.0,,,2015-08-14,Cycle Inspection / Initial Inspection
40366711,LI GRECI'S STAATEN RESTAURANT,STATEN ISLAND,697,FOREST AVENUE                                     ,10310,7184486000,American ,2015-01-22,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,26.0,,,2015-08-14,Cycle Inspection / Initial Inspection
40366711,LI GRECI'S STAATEN RESTAURANT,STATEN ISLAND,697,FOREST AVENUE                                     ,10310,7184486000,American ,2015-01-22,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,26.0,,,2015-08-14,Cycle Inspection / Initial Inspection
40366711,LI GRECI'S STAATEN RESTAURANT,STATEN ISLAND,697,FOREST AVENUE                                     ,10310,7184486000,American ,2014-07-17,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140å¼ F.,Critical,25.0,B,2014-07-17,2015-08-14,Cycle Inspection / Re-inspection
40366711,LI GRECI'S STAATEN RESTAURANT,STATEN ISLAND,697,FOREST AVENUE                                     ,10310,7184486000,American ,2014-07-17,Violations were cited in the following area(s).,04M,Live roaches present in facility's food and/or non-food areas.,Critical,25.0,B,2014-07-17,2015-08-14,Cycle Inspection / Re-inspection
40366711,LI GRECI'S STAATEN RESTAURANT,STATEN ISLAND,697,FOREST AVENUE                                     ,10310,7184486000,American ,2014-07-17,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,25.0,B,2014-07-17,2015-08-14,Cycle Inspection / Re-inspection
40366711,LI GRECI'S STAATEN RESTAURANT,STATEN ISLAND,697,FOREST AVENUE                                     ,10310,7184486000,American ,2014-07-17,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,25.0,B,2014-07-17,2015-08-14,Cycle Inspection / Re-inspection
40366711,LI GRECI'S STAATEN RESTAURANT,STATEN ISLAND,697,FOREST AVENUE                                     ,10310,7184486000,American ,2014-07-17,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,25.0,B,2014-07-17,2015-08-14,Cycle Inspection / Re-inspection
40366711,LI GRECI'S STAATEN RESTAURANT,STATEN ISLAND,697,FOREST AVENUE                                     ,10310,7184486000,American ,2014-07-17,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,25.0,B,2014-07-17,2015-08-14,Cycle Inspection / Re-inspection
40366711,LI GRECI'S STAATEN RESTAURANT,STATEN ISLAND,697,FOREST AVENUE                                     ,10310,7184486000,American ,2014-06-11,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140å¼ F.,Critical,66.0,,,2015-08-14,Cycle Inspection / Initial Inspection
40366711,LI GRECI'S STAATEN RESTAURANT,STATEN ISLAND,697,FOREST AVENUE                                     ,10310,7184486000,American ,2014-06-11,Violations were cited in the following area(s).,02G,Cold food item held above 41å¼ F (smoked fish and reduced oxygen packaged foods above 38 å¼F) except during necessary preparation.,Critical,66.0,,,2015-08-14,Cycle Inspection / Initial Inspection
40366711,LI GRECI'S STAATEN RESTAURANT,STATEN ISLAND,697,FOREST AVENUE                                     ,10310,7184486000,American ,2014-06-11,Violations were cited in the following area(s).,04C,Food worker does not use proper utensil to eliminate bare hand contact with food that will not receive adequate additional heat treatment.,Critical,66.0,,,2015-08-14,Cycle Inspection / Initial Inspection
40366711,LI GRECI'S STAATEN RESTAURANT,STATEN ISLAND,697,FOREST AVENUE                                     ,10310,7184486000,American ,2014-06-11,Violations were cited in the following area(s).,04M,Live roaches present in facility's food and/or non-food areas.,Critical,66.0,,,2015-08-14,Cycle Inspection / Initial Inspection
40366711,LI GRECI'S STAATEN RESTAURANT,STATEN ISLAND,697,FOREST AVENUE                                     ,10310,7184486000,American ,2014-06-11,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,66.0,,,2015-08-14,Cycle Inspection / Initial Inspection
40366711,LI GRECI'S STAATEN RESTAURANT,STATEN ISLAND,697,FOREST AVENUE                                     ,10310,7184486000,American ,2014-06-11,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,66.0,,,2015-08-14,Cycle Inspection / Initial Inspection
40366711,LI GRECI'S STAATEN RESTAURANT,STATEN ISLAND,697,FOREST AVENUE                                     ,10310,7184486000,American ,2014-06-11,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,66.0,,,2015-08-14,Cycle Inspection / Initial Inspection
40366711,LI GRECI'S STAATEN RESTAURANT,STATEN ISLAND,697,FOREST AVENUE                                     ,10310,7184486000,American ,2014-06-11,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,66.0,,,2015-08-14,Cycle Inspection / Initial Inspection
40366711,LI GRECI'S STAATEN RESTAURANT,STATEN ISLAND,697,FOREST AVENUE                                     ,10310,7184486000,American ,2014-05-20,No violations were recorded at the time of this inspection.,,,Not Applicable,,,,2015-08-14,Administrative Miscellaneous / Initial Inspection
40366711,LI GRECI'S STAATEN RESTAURANT,STATEN ISLAND,697,FOREST AVENUE                                     ,10310,7184486000,American ,2013-10-03,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,22.0,B,2013-10-03,2015-08-14,Cycle Inspection / Re-inspection
40366711,LI GRECI'S STAATEN RESTAURANT,STATEN ISLAND,697,FOREST AVENUE                                     ,10310,7184486000,American ,2013-10-03,Violations were cited in the following area(s).,04M,Live roaches present in facility's food and/or non-food areas.,Critical,22.0,B,2013-10-03,2015-08-14,Cycle Inspection / Re-inspection
40366711,LI GRECI'S STAATEN RESTAURANT,STATEN ISLAND,697,FOREST AVENUE                                     ,10310,7184486000,American ,2013-10-03,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,22.0,B,2013-10-03,2015-08-14,Cycle Inspection / Re-inspection
40366711,LI GRECI'S STAATEN RESTAURANT,STATEN ISLAND,697,FOREST AVENUE                                     ,10310,7184486000,American ,2013-10-03,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,22.0,B,2013-10-03,2015-08-14,Cycle Inspection / Re-inspection
40366711,LI GRECI'S STAATEN RESTAURANT,STATEN ISLAND,697,FOREST AVENUE                                     ,10310,7184486000,American ,2013-10-03,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,22.0,B,2013-10-03,2015-08-14,Cycle Inspection / Re-inspection
40366711,LI GRECI'S STAATEN RESTAURANT,STATEN ISLAND,697,FOREST AVENUE                                     ,10310,7184486000,American ,2013-08-21,Violations were cited in the following area(s).,04M,Live roaches present in facility's food and/or non-food areas.,Critical,21.0,,,2015-08-14,Cycle Inspection / Initial Inspection
40366711,LI GRECI'S STAATEN RESTAURANT,STATEN ISLAND,697,FOREST AVENUE                                     ,10310,7184486000,American ,2013-08-21,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,21.0,,,2015-08-14,Cycle Inspection / Initial Inspection
40366711,LI GRECI'S STAATEN RESTAURANT,STATEN ISLAND,697,FOREST AVENUE                                     ,10310,7184486000,American ,2013-08-21,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,21.0,,,2015-08-14,Cycle Inspection / Initial Inspection
40366711,LI GRECI'S STAATEN RESTAURANT,STATEN ISLAND,697,FOREST AVENUE                                     ,10310,7184486000,American ,2013-08-21,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,21.0,,,2015-08-14,Cycle Inspection / Initial Inspection
40366711,LI GRECI'S STAATEN RESTAURANT,STATEN ISLAND,697,FOREST AVENUE                                     ,10310,7184486000,American ,2013-08-21,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,21.0,,,2015-08-14,Cycle Inspection / Initial Inspection
40366711,LI GRECI'S STAATEN RESTAURANT,STATEN ISLAND,697,FOREST AVENUE                                     ,10310,7184486000,American ,2013-08-21,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,21.0,,,2015-08-14,Cycle Inspection / Initial Inspection
